sentence,relation,head,head_offset,tail,tail_offset
阿桔曾是火箭队三干部之一，曾是浅红市道馆馆主。 阿桔曾经前往双子岛捕捉急冻鸟，并在几番波折之后成功。 苏芳岛决战之后被希巴所救。 和小茂有很深的羁绊。 假面男被打败之后，阿桔和曾经都是邪恶组织成员的希巴、一树以及梨花结为同盟。后来他们以城都新四天王的身份在心金·魂银篇登场。,伙伴,阿桔,85,希巴,99
娜姿和马志士、阿桔一同出现在苏芳岛，并与夏伯、小茂、小蓝、小黄和正辉合作打倒四天王。由于对方有四个人，而且他们都不确定对方会否中途离开，所以娜姿就用胡地的超能力“命运的汤匙”把8人分成4组，每组负责打倒一个四天王。娜姿和小蓝被选为同组，对上了科拿，左手被科拿的冰手铐冻伤。,挑战,小蓝,110,科拿,121
当空木博士拜托他去住在吉花市北边的宝可梦爷爷那里跑一趟时，阿响的旅程开始了。考虑到他可能会在路上遇到危险的野生宝可梦，空木博士还送给了他一只最初的伙伴来防身。临走时，阿响看到一个和他同岁的奇怪男孩正在空木博士研究所外偷窥。当他想要跟他说话时，男孩粗鲁地推开了他。在宝可梦爷爷的家里他还遇到了大木博士。大木博士看出阿响与宝可梦之间的牵绊，交给了他宝可梦图鉴。在回家的路上，阿响遇到了偷走空木博士的宝可梦的小银。在战斗中击败他后，阿响得知了他的名字并告诉若叶镇的警察。空木博士鼓励他去挑战石英高原。,伙伴,阿响,213,空木博士,232
在VS超甲狂犀中，阿速和阿笔以及阿四收到松叶的委托，守在缘朱道馆门口，阻止要借用千里眼的可疑人物进入道馆。小银来道馆时遇到了阿速等人，阿速和阿笔的宝可梦都被小银的玛狃拉轻松击败，接着阿四派出战舞郎应战小银的超甲狂犀，对战中，阿速发现战舞郎似乎和超甲狂犀认识，在小银解释后，阿速等人觉得是小茂认可的人没有问题，就让他进去找松叶。,伙伴,阿速,9,阿四,16
青绿跟赤红在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,风露,31,阿塞萝拉,37
除此之外，还有以莉佳为主题的套牌。日文版有玉虹市道馆 莉佳。英文版有道馆英雄中的莉佳主题套牌。,位于,莉佳,27,玉虹市,21
火箭队也看上了无畏小子，打算拉他入伙，不料却被其打飞。之后小智与信彦前往无畏小子常来的地方，信彦与无畏小子进行了对战，结果信彦的快拳郎和飞腿郎都被它击败。信彦被打败后，火箭队绑走了无畏小子。但是信彦徒步追上了火箭队的气球并徒手打破了气球，气球撞击山体导致巨石崩塌，他为了让无畏小子再次相信人类，使出全力帮它挡住巨石。在打败了火箭队后，信彦亲自上场与无畏小子进行格斗，大胜无畏小子。最后，信彦收复了无畏小子，并把自己手臂上的红色围巾给无畏小子戴上，换下了原本破烂的蓝色围巾。同时他也收复了猴怪和火暴猴。,伙伴,小智,29,信彦,32
富士老人首次出现于VS可达鸭，他当时正在祭拜他死去的嘟嘟。他邀请小智去家里喝茶，并对小智讲述了有关宝可梦塔与“幽灵”的情况。小智发现了富士老人与小茂的合照，得知小茂已经失踪在宝可梦塔中两个星期了。后来小智和小茂通过与火箭队的战斗破解了紫苑镇的幽灵谣言，富士老人的嘟嘟也终于得到了安息之所。,拥有,富士老人,0,嘟嘟,26
火箭队也看上了无畏小子，打算拉他入伙，不料却被其打飞。之后小智与信彦前往无畏小子常来的地方，信彦与无畏小子进行了对战，结果信彦的快拳郎和飞腿郎都被它击败。信彦被打败后，火箭队绑走了无畏小子。但是信彦徒步追上了火箭队的气球并徒手打破了气球，气球撞击山体导致巨石崩塌，他为了让无畏小子再次相信人类，使出全力帮它挡住巨石。在打败了火箭队后，信彦亲自上场与无畏小子进行格斗，大胜无畏小子。最后，信彦收复了无畏小子，并把自己手臂上的红色围巾给无畏小子戴上，换下了原本破烂的蓝色围巾。同时他也收复了猴怪和火暴猴。,拥有,信彦,61,飞腿郎,68
在离家出走的玛奥与智挥猩！中，她和乔伊小姐到艾纳餐馆就餐，并在之后一起去了智挥猩的森林小酒馆喝酒。,位于,乔伊小姐,17,智挥猩的森林小酒馆,37
